Source,Target,Weight,SourceZone,TargetZone
DEU,KOR,37.322,Europe,Asia
DEU,KWT,29.25,Europe,Asia
DEU,LSO,1052.351,Europe,Africa
DEU,LVA,345.658,Europe,Europe
DEU,LBY,5910.293,Europe,Africa
DEU,LTU,626.725,Europe,Europe
DEU,LUX,6051.99,Europe,Europe
DEU,MWI,13347.628,Europe,Africa
DEU,MDV,0.08,Europe,Asia
DEU,MLT,0.013,Europe,Europe
DEU,MUS,12378.501,Europe,Africa
DEU,MDA,1.131,Europe,Europe
DEU,MAR,19405.521,Europe,Africa
DEU,MOZ,15276.284,Europe,Africa
DEU,NAM,1.433,Europe,Africa
DEU,NLD,213206.96899999998,Europe,Europe
DEU,NOR,30698.131,Europe,Europe
DEU,POL,8680.314,Europe,Europe
DEU,PRT,7196.786,Europe,Europe
DEU,ROU,354.512,Europe,Europe
DEU,RUS,134.526,Europe,Asia
DEU,RWA,5450.507,Europe,Africa
DEU,SAU,139250.15,Europe,Asia
DEU,SEN,0.076,Europe,Africa
DEU,SRB,7.4559999999999995,Europe,Europe
DEU,SGP,6.933,Europe,Asia
DEU,SVK,145.639,Europe,Europe
DEU,VNM,8.541,Europe,Asia
DEU,SVN,126.43100000000001,Europe,Europe
DEU,ZAF,134454.179,Europe,Africa
DEU,ZWE,9361.968,Europe,Africa
DEU,ESP,7360.608,Europe,Europe
DEU,SDN,41647.772,Europe,Africa
DEU,SUR,3777.247,Europe,South America
DEU,SWZ,1410.93,Europe,Africa
DEU,SWE,11380.009,Europe,Europe
